ProteinGroupId	q-value	posterior_error_prob	score	numPeptides	proteinIds
CUFF.1191.1_1+	0.833663	NA	1.959359	1	CUFF.1191.1_1+,CUFF.1191.2_3+
ACOM028585-PA	0.833663	NA	1.958971	1	ACOM028585-PA
CUFF.8173.1_2+	0.833663	NA	1.951979	1	CUFF.8173.1_2+
AGAP000430-RA_3+	0.833663	NA	1.950757	1	AGAP000430-RA_3+,CUFF.16347.1_2+,CUFF.16347.2_2+
sp|P00899|TRPE_YEAST	0.833663	NA	1.949276	1	sp|P00899|TRPE_YEAST
AGAP005699-RA_3+	0.833663	NA	1.944561	1	AGAP005699-RA_3+,CUFF.1261.1_3+,CUFF.1261.2_3+
AGAP009509-RA_1+	0.833663	NA	1.943328	1	AGAP009509-RA_1+,CUFF.11115.1_2+,CUFF.11115.2_2+
sp|P40547|VID28_YEAST	0.833663	NA	1.932702	1	sp|P40547|VID28_YEAST
AGAP010575-RA_1+	0.833663	NA	1.924452	1	AGAP010575-RA_1+
ACOM029227-PA	0.833663	NA	1.923094	1	ACOM029227-PA
AGAP005651-RA_3+	0.833663	NA	1.917337	1	AGAP005651-RA_3+,CUFF.1180.1_2+
AGAP000262-RA_3+	0.833663	NA	1.907599	2	AGAP000262-RA_3+
AGAP000810-RA_3+	0.833663	NA	1.907287	1	AGAP000810-RA_3+,CUFF.16929.1_1+,CUFF.16929.2_1+
AGAP004417-RA_1+	0.833663	NA	1.898540	1	AGAP004417-RA_1+
AGAP005891-RA_1+	0.833663	NA	1.897524	1	AGAP005891-RA_1+,AGAP005891-RB_1+,CUFF.1478.1_3+,CUFF.1478.4_1+,CUFF.1478.5_1+
CUFF.11076.10_1+	0.833663	NA	1.893569	1	CUFF.11076.10_1+,CUFF.11076.5_2+,CUFF.11076.6_3+,CUFF.11076.7_2+,CUFF.11076.8_2+,CUFF.11076.9_3+
ACOM037638-PA	0.833663	NA	1.892826	1	ACOM037638-PA,AGAP002805-PA,AGAP002805-RA_2+
CUFF.4493.1_3+	0.833663	NA	1.887568	1	CUFF.4493.1_3+,CUFF.4493.2_3+,CUFF.4493.3_2+
AGAP002133-RA_3+	0.833663	NA	1.885769	1	AGAP002133-RA_3+
AGAP011895-RA_2+	0.833663	NA	1.882063	1	AGAP011895-RA_2+,CUFF.8831.1_1+
ACOM033817-PA	0.833663	NA	1.878562	1	ACOM033817-PA
AGAP009346-RA_2+	0.833663	NA	1.872150	1	AGAP009346-RA_2+
AGAP003449-RA_2+	0.833663	NA	1.872002	1	AGAP003449-RA_2+,CUFF.5147.1_3+,CUFF.5147.2_3+
ACOM028716-PA	0.833663	NA	1.869539	1	ACOM028716-PA,AGAP003635-PA,AGAP003635-RA_1+,CUFF.5312.1_1+,CUFF.5312.2_2+,CUFF.5312.4_1+,CUFF.5312.5_1+
